# hugoSymbol	alteration	oncotreeCode	evidenceId	highestOncotreeCode
ABL1	BCR-ABL1 Fusion	ALAL	34	ALAL
ABL1	BCR-ABL1 Fusion	AML	28	AML
ABL1	BCR-ABL1 Fusion	BLL	30	BLL
ABL1	BCR-ABL1 Fusion	MPN	32	CML
ABL1	Fusions	BLL	9	BLL
ABL2	Fusions	BLL	184	BLL
ALK	Fusions	MBN	730	ALK Positive Large B-Cell Lymphoma
ALK	Fusions	MTNN	732	ALCL
CBFB	CBFB-MYH11 Fusion	AML	4957	AML
CEBPA	Oncogenic Mutations	AML	5657	AML
CRLF2	Fusions	BLL	5998	BLL
DEK	DEK-NUP214 Fusion	AML	6304	AML
EPOR	Fusions	BLL	7909	BLL
FGFR1	Fusions	MLNER	10056	MLNER
IL3	IGH-IL3 Fusion	BLL	11914	BLL
IRF4	Fusions	MBN	11989	Large B-Cell Lymphoma with IRF4 Rearrangement
JAK2	Fusions	BLL	12083	BLL
JAK2	PCM1-JAK2 Fusion	MLNER	12076	MLNER
KMT2A	Fusions	ALAL	13047	ALAL
KMT2A	Fusions	BLL	13045	BLL
KMT2A	KMT2A-MLLT3 Fusion	AML	13061	AML
MYC	Fusions	MBN	16225	"High-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements"
NPM1	Oncogenic Mutations	AML	16795	AML
PDGFRA	Fusions	MLNER	17522	MLNER
PDGFRB	Fusions	BLL	17584	BLL
PDGFRB	Fusions	MLNER	17586	MLNER
RARA	Fusions	AML	20478	AML
RBM15	RBM15-MRTFA Fusion	AML	20591	AML
RUNX1	ETV6-RUNX1 Fusion	BLL	21103	BLL
RUNX1	Oncogenic Mutations	AML	21107	AML
RUNX1	RUNX1-RUNX1T1 Fusion	AML	21053	AML
TCF3	TCF3-PBX1 Fusion	BLL	22588	BLL
TYK2	Fusions	BLL	23932	BLL
BRAF	TEST	LCH	2034	HDCN
